Sponsor Submitted Date,Proposal State,Principal Investigator,Last Name,First Name,Lead Department,Proposal Title,Prime Sponsor,Proposal Requested Total Amt,CO PI Name
9/20/2018,Awarded,Jennifer Manganello,Manganello,Jennifer,Setup Business Group,Hashtag HPV: Engaging parents through social media to increase HPV vaccination,National Institutes of Health,199652,
9/21/2018,Awarded,Anthony Deblasi,Deblasi,Anthony,010 East Asian Studies,Cambridge History of China  Volume 4: Workshop Grant Proposal,Chiang Ching-Kuo Foundation for International Scholarly Exchange,24893,
9/24/2018,Awarded,Cristian Lenart,Lenart,Cristian,010 Mathematics & Statistics,New applications of combinatorics to representation theory and Schubert calculus,National Science Foundation,288299,
9/24/2018,Awarded,Robert Fovell,Fovell,Robert,010 Atmospheric and Environmental Sciences,Assessing wind hazards associated with the October 2017 Northern California wildfires,Pacific Gas and Electric Company,274000,
9/24/2018,Not Funded,Craig Ferguson,Ferguson,Craig,010 Atmospheric Sciences Research Center,The changing nature of North American drought forcing and the coupled natural response,National Science Foundation,443513,
9/24/2018,Not Funded,Igor Lednev,Lednev,Igor,010 Chemistry,Evaluation of Raman Microspectroscopy capabilities,University of South Carolina,28800,
9/24/2018,Not Funded,Kara Sulia,Sulia,Kara,010 Atmospheric Sciences Research Center,STTR: Improving UAS Operational Resiliency Using Machine Learned Weather Forecasting,National Science Foundation,94285.9,
9/24/2018,Not Funded,Srivathsan Vembanur Ranganathan,Vembanur Ranganathan,Srivathsan,010 The RNA Institute,Combating Drug-resistant Bacterial Infection at a Unique RNA Target,National Institutes of Health,33298,
9/25/2018,Awarded,Annis Golden,Golden,Annis,010 Communication,Women's Health Project-HRBTCF,Hudson River Bank and Trust Company Foundation,2367,
9/25/2018,Awarded,David Holtgrave,Holtgrave,David,010 Biomedical Science,GRA 5860-01: New paradigm & benchmark for bacterial horizontal gene transfer,National Science Foundation,30057,
9/25/2018,Awarded,David Hureau,Hureau,David,010 Hindelang Criminal Justice Research Center,Evaluation and Impact of Street Outreach and Violence Interruption in Chicago,Northwestern University,49998,
9/25/2018,Not Funded,Andrea Lang,Lang,Andrea,010 Atmospheric and Environmental Sciences,IGE: Collaborative Research: Community Achieving Reproducible Data Science (CARDS),National Science Foundation,155000,
9/25/2018,Not Funded,David Holtgrave,Holtgrave,David,010 Biomedical Science,GRA 5583-01 Mechanisms of IGA-mediated immunity to salmonella,Bill and Melinda Gates Foundation,74704,
9/25/2018,Not Funded,John McCauley,McCauley,John,010 Biology,Circadian regulation of synaptic function,National Science Foundation,138000,
9/26/2018,Not Funded,Damian Zuloaga,Zuloaga,Damian,010 Psychology,Sex-specific regulation of stress responses by corticotropin releasing factor receptor 1,National Institutes of Health,1884062,Andrew Poulos : Paolo Forni
9/26/2018,Not Funded,Magdia DeJesus,DeJesus,Magdia,010 Biomedical Science,WiSTEM 2D Candida auris: Development of novel vaccines and diagnostics,Johnson and Johnson,150000,
9/26/2018,Not Funded,Paul Miesing,Miesing,Paul,010 Management,INFEWS/Track 2: BISNES: Building an Information Sharing Network to Support Innovation Ecosystems at the FEW Nexus,National Science Foundation,1240270,Charalampos Chelmis : Luis Luna-Reyes
9/26/2018,Not Funded,Ting Wang,Wang,Ting,010 Chemistry,Radical approach for C-N bonds formation,National Science Foundation,538495,
9/28/2018,Not Funded,Kenneth Halvorsen,Halvorsen,Kenneth,010 The RNA Institute,Centrifugation Cell-Force Spectroscopy:  Engineering or Tumor Cell-Cell Adhesion Type Detection Tool,University of Southern Denmark,107955,
9/28/2018,Not Funded,Mehmet Yigit,Yigit,Mehmet,010 Chemistry,Controllable RNA therapeutics and biosystem analysis using modular nanotechnologies,National Institutes of Health,1886810,
10/1/2018,Not Funded,Kyoung-Yeol Kim,Kim,Kyoung-Yeol,010 Envir & Sust Engr,Removal of of Perfluoroalkyl Acids from Wastewater by Novel Electrocoagulation with an Air Cathode.,Environmental Protection Agency,499309,
10/1/2018,Not Funded,Weifu Wang,Wang,Weifu,010 Electrical & Comp Engr,RI: Medium: Collaborative Research: Robust Assembly of Compliant Modular Robots for Easily Deployable Structures,National Science Foundation,398596,
10/1/2018,Not Funded,Zhang Wang,Wang,Zhang,010 Chemistry,Total Synthesis of Simpterpenoid A,National Science Foundation,435866,
10/2/2018,Awarded,Alan Chen,Chen,Alan,010 Chemistry,Thermodynamically Calibrated RNA Simulations to Decode Mechanisms of RNA Molecular Recognition,National Institutes of Health,1815348,
10/2/2018,Awarded,Marius Beceanu,Beceanu,Marius,010 Mathematics & Statistics,Collaborative Research: The Northeast Analysis Network,National Science Foundation,11376,
10/2/2018,Not Funded,Annalisa Scimemi,Scimemi,Annalisa,010 Biology,Diurnal changes in neocortical synaptic activity in Alzheimer's disease,National Institutes of Health,2383681,
10/2/2018,Not Funded,Lijun Ni,Ni,Lijun,010 Educational Theory & Practice,Networks for CS Teacher Development: Building Robust Location Based Models of Teacher Learning and Community,National Science Foundation,1647683.05,
10/2/2018,Not Funded,Qiang Zhang,Zhang,Qiang,010 Chemistry,Development of Strained-Molecules Enabled Epimerization-Free Coupling Strategy towards Challenging Peptide and Protein Synthesis,National Institutes of Health,1837986,
10/2/2018,Not Funded,Rongwei Yang,Yang,Rongwei,010 Mathematics & Statistics,Projective spectrum in noncommutative multivariable operator theory,National Science Foundation,138533,
10/2/2018,Not Funded,Sangeetha Selvam,Selvam,Sangeetha,010 Biology,Conformational dynamics of translation initiation factor 2 by single molecule FRET,Life Sciences Research Foundation,186000,
10/2/2018,Not Funded,Yanna Liang,Liang,Yanna,010 Envir & Sust Engr,A practical and sustainable approach for removing PFAS from the environment: phytoremediation followed by thermal destruction of PFAS in plant biomass,Environmental Protection Agency,899878,Xiaobo Romeiko
10/2/2018,Not Funded,Zhang Wang,Wang,Zhang,010 Chemistry,Chemical Syntheses of Bioactive Natural Products and Their Derivatives,National Institute of General Medical Sciences,1931250,
10/3/2018,Awarded,Eric Hardiman,Hardiman,Eric,010 School of Social Welfare,Dwyer Veterans Peer-to-Peer Evaluation,NYS Office of Mental Health,210000,
10/3/2018,Not Funded,Jiang Yu,Yu,Jiang,010 School of Social Welfare,Addictions Research Education Program for Social Workers,National Institutes of Health,1767034,Lynn Warner
10/3/2018,Not Funded,Melinda Larsen,Larsen,Melinda,010 Biology,The Senescence Phenotype in Salivary Gland Disease,National Institutes of Health,1555591,
10/3/2018,Not Funded,Shao Lin,Lin,Shao,010 Environmental Health Sciences,Changes in PM composition across NYS and the triggering of acute cardiorespiratory events  hospitalizations  and death:  The NYS Accountability Study II.,NYS Energy Research and Development Authority,140694,
10/4/2018,Awarded,Bryan Early,Early,Bryan,010 Center for Policy Research,Preventing Misuse of Biological Agents in North Korea,US Department of State,46599,
10/4/2018,Not Funded,Annalisa Scimemi,Scimemi,Annalisa,010 Biology,Daily control of excitatory transmission in the hippocampus,National Institutes of Health,2394914,
10/5/2018,Not Funded,Kristen Wilcox,Wilcox,Kristen,010 Educational Theory & Practice,Successful Schools Grant,University of the State of New York Regents Research Fund,194929,Kathryn Schiller : Hal Lawson : Alex Pieterse : Alex Kumi-Yeboah
10/9/2018,Awarded,David Holtgrave,Holtgrave,David,010 Dean - School of Public Health,Cost effectiveness evaluation of the FinishIt campaign,Truth Initiative,49896,
10/10/2018,Awarded,Everette Joseph,Joseph,Everette,010 Atmospheric and Environmental Sciences,Fabrication of an environmental Sky Imager-Radiometer (eSIR),Ecolong Limited Liability Corporation,20518,
10/10/2018,Not Funded,Md Aynul Bari,Bari,Md Aynul,010 Envir & Sust Engr,Ambient concentrations and atmospheric deposition of trace metals and polycyclic aromatic hydrocarbons (PAHs) in Albany  NY: Assessment of energy-related influence,NYS Energy Research and Development Authority,214316,
10/10/2018,Not Funded,Md Aynul Bari,Bari,Md Aynul,010 Envir & Sust Engr,Long-term trends and sources of volatile organic compounds (VOCs) in New York State: Assessment of energy-related influence,NYS Energy Research and Development Authority,206513,
10/11/2018,Not Funded,Changlong Zhong,Zhong,Changlong,010 Mathematics & Statistics,Hecke-type algebras and cohomology of flag varieties,National Science Foundation,94320,
10/11/2018,Pending Sponsor Review Award Anticipated,David Guinn,Guinn,David,010 Center for International Development,Active Communities Effective States (ACES),US Agency for International Development,25000,
10/12/2018,Not Funded,Carolyn MacDonald,MacDonald,Carolyn,010 Physics,Focused X-ray Radiotherapy for Age-related Macular Degeneration,National Institutes of Health,80858,
10/12/2018,Not Funded,Ramune Reliene,Reliene,Ramune,010 Environmental Health Sciences,Targeting breast cancer stem cells with pomegranate ellagitannins and urolithins,National Institutes of Health,438326,
10/15/2018,Not Funded,Julia Hormes,Hormes,Julia,010 Psychology,Heart Rate Variability Biofeedback: A Novel Behavioral Change Mechanism in the Treatment of Anorexia Nervosa,National Eating Disorders Association,99366,
10/16/2018,Not Funded,JoEllen Welsh,Welsh,JoEllen,010 Environmental Health Sciences,VDR regulation of salivary progenitors,National Institutes of Health,424875,Melinda Larsen
10/17/2018,Awarded,Alexander Shekhtman,Shekhtman,Alexander,010 Chemistry,Targeting RAGE/DIAPH1:  Novel Therapeutic Strategy for Diabetic Complications,National Institutes of Health,607473,
10/17/2018,Awarded,Ramaswamy  Sarma,Sarma,Ramaswamy,010 Chemistry,Albany 2019: The 20th Conversation,National Science Foundation,15000,
10/17/2018,Not Funded,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,Non-Invasive Analysis of Cell Viability and Differentiation for Salivary Gland Regeneration,National Institutes of Health,460225,Melinda Larsen
10/17/2018,Not Funded,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,Study of iron transport by Raman microspectroscopy,National Institute of General Medical Sciences,460226,
10/17/2018,Not Funded,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,Study of iron transport in cancer cells by Raman microspectroscopy,National Institutes of Health,140875,
10/17/2018,Not Funded,Bijan Dey,Dey,Bijan,010 The RNA Institute,"The role and molecular mechanism of m6Am RNA modification in myogenesis and Duchenne Muscular Dystrophy"".",National Institutes of Health,1931250,
10/17/2018,Not Funded,Gerd-Uwe Flechsig,Flechsig,Gerd-Uwe,010 Chemistry,Interactions of DNA with drug molecules studied by millisecond-resolved EQCM,National Institutes of Health,441345,
10/17/2018,Not Funded,Gerd-Uwe Flechsig,Flechsig,Gerd-Uwe,010 Chemistry,Large deuterium isotope effects on the interactions of DNA with drug molecules studied by voltammetry and Raman spectroscopy,National Institutes of Health,385684,
10/17/2018,Not Funded,Haijun Chen,Chen,Haijun,010 Biology,Aberrant depolarization of skeletal muscle in hypokalemia periodic paralysis,National Institutes of Health,416625,
10/17/2018,Not Funded,Igor Lednev,Lednev,Igor,010 Chemistry,Alzheimer's disease diagnostics based on Raman spectroscopy of blood,National Institutes of Health,406454,
10/17/2018,Not Funded,Igor Lednev,Lednev,Igor,010 Chemistry,Celiac Disease diagnostics based on Raman Spectroscopy of blood,National Institutes of Health,406454,
10/17/2018,Not Funded,Li Niu,Niu,Li,010 Chemistry,RNA Hydrogels,National Institutes of Health,2429366,Jia Sheng
10/17/2018,Not Funded,Lucy Sorensen,Sorensen,Lucy,010 Public Administration & Policy,Choosing Right: The Impact of Charter School Growth and Policies on Student Segregation,American Educational Research Association,34377,Stephen Holt
10/17/2018,Not Funded,Michael Young,Young,Michael,010 Dean's Office - CEHC,Data Science and Intelligence,Defense Intelligence Agency,1996331,
10/17/2018,Not Funded,Ming-Ching Chang,Chang,Ming-Ching,010 Computer Science,DARPA GE Learning with Less Labels Proposal,Defense Advanced Research Projects Agency (DARPA),911850,Siwei Lyu
10/17/2018,Not Funded,Qiang Zhang,Zhang,Qiang,010 Chemistry,Efficient Strategy towards the Synthesis of Circular-Peptides and Glycoproteins,National Institute of General Medical Sciences,1834898,
10/18/2018,Not Funded,John Welch,Welch,John,010 Chemistry,Efficient Light Harvesting by De Novo Designed Peptides,National Science Foundation,466581,
10/19/2018,Not Funded,Mehmet Yigit,Yigit,Mehmet,010 Chemistry,Approaches Towards Single Extracellular Vesicle Isolation and Characterization,Cold Spring Harbor Laboratory,374965,
10/22/2018,Not Funded,Li Niu,Niu,Li,010 Chemistry,Testing RNA Aptamers as a Potential ALS Drug in Mouse Models,US Army Medical Research Acquisition Activity,745494,
10/23/2018,Awarded,Eugene Monaco,Monaco,Eugene,010 Professional Development Program,NYS STD/HIV Prevention Training Center DISTC,Centers for Disease Control and Prevention,94738,
10/23/2018,Awarded,Mary VanUllen,VanUllen,Mary,010 University Library,Coordinated Collection Development Aid 2018-2019,NYS Education Department,24296,
10/23/2018,Not Funded,Haijun Chen,Chen,Haijun,010 Biology,Two levels of resting potential of cardiomyocytes in hypokalemia,National Institute for Healthcare Research,463500,
10/23/2018,Not Funded,Qilong Min,Min,Qilong,010 Atmospheric Sciences Research Center,Sensors and Application Driven Multi-Dimensional Observability of Grid-edge Solar Resources,US Department of Energy,1586833,Yiming Ying : Cheng-Hsuan Lu
10/23/2018,Not Funded,Ting Wang,Wang,Ting,010 Chemistry,Photocatalytic Formation of C-N/C-S Bonds,National Institutes of Health,460226,
10/23/2018,Not Funded,Wendy Turner,Turner,Wendy,010 Biology,Investigating Survival Mechanisms of Remnant Northern Long-eared Bat Populations,Wildlife Management Institute Incorporated,24981,
10/24/2018,Awarded,Zhang Wang,Wang,Zhang,010 Chemistry,Inspired by Nature:  Rapid Synthesis and Applications of Propellane-Type Michael Acceptors and Biomimetic Syntheses of Hitorins,National Institutes of Health,463500,
10/24/2018,Not Funded,Kristie Saddler,Saddler,Kristie,010 Educational and Counseling Psychology,The state of revising in elementary writing classrooms,Spencer Foundation,49673,
10/25/2018,Awarded,Camille Barnes,Barnes,Camille,010 Center for Human Services Research,New York State Systems of Care-- NYS (OMH),Research Foundation for Mental Hygiene,396018,Rose Greene
10/25/2018,Not Funded,Kevin Williams,Williams,Kevin,010 The Graduate School,NSF Graduate Research Fellowship Program,National Science Foundation,46000,
10/26/2018,Awarded,Lauren Polvere,Polvere,Lauren,010 Center for Human Services Research,Kinship Navigator System of Care Evaluation,Catholic Family Center of Rochester,224827,Rose Greene
10/26/2018,Not Funded,Akiko Hosler,Hosler,Akiko,010 Epidemiology & Biostatistics,Public Health Nutrition Training and Seminar Series at UAlbany School of Public Health,Hannaford Charitable Foundation,115029,
